id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
65;1053;5515;Bretigny-sur-Morrens;22;2223;2201;1;0;1;2;84;2;5586;2;9;8;4;2;0;2;10;2;1;["Bretigny-Morrens"];46.603088;6.64250804336969;539002.354436726;161624.004560378;47.1196670135276;0.73;1.545
519;1512;5665;Chavannes-sur-Moudon;22;2222;2218;1;0;1;2;93;2;0;0;9;8;4;2;0;3;21;9;11;[];46.66128225;6.81857913590508;552543.42386751;167971.188917105;49.4516129032258;0.73;1.545
437;1407;5913;Donneloye;22;2224;2212;1;0;1;2;91;2;0;0;9;8;5;0;0;3;15;7;5;[];46.744325;6.7155281;544741.738264455;177269.93931731;46.9687825182102;0.73;1.545
438;1408;5913;Donneloye;22;2224;2212;1;0;1;2;91;2;0;0;9;8;5;0;0;3;15;7;5;[];46.744325;6.7155281;544741.738264455;177269.93931731;46.9687825182102;0.73;1.545
448;1417;5520;Essertines-sur-Yverdon;22;2223;2211;1;0;1;2;90;2;0;0;9;8;5;0;0;3;20;8;3;[];46.7212515;6.65068441914964;539760.871332289;174752.858172307;32.7450572320499;0.73;1.545
42;1037;5521;Etagnières;22;2223;2211;1;0;1;2;90;2;5586;2;9;7;4;2;0;2;11;4;3;[];46.6001382;6.6134167;536770.070514153;161319.156400574;52.1103017689906;0.73;1.545
422;1372;5493;Orny;22;2227;2210;1;0;1;2;90;2;0;0;9;8;4;2;0;3;20;8;3;[];46.6676263;6.5256309;530131.452940425;168895.653320635;44.271875;0.73;1.545
393;1317;5493;Orny;22;2227;2210;1;0;1;2;90;2;0;0;9;8;4;2;0;3;20;8;3;[];46.6676263;6.5256309;530131.452940425;168895.653320635;44.271875;0.73;1.545
497;1463;5928;Rovray;22;2224;2212;1;0;1;2;91;2;0;0;9;8;5;0;0;3;21;9;5;[];46.7849701;6.7644976;548522.735781526;181754.958029042;46.3537981269511;0.73;1.545
61;1047;5534;Rueyres;22;2223;2211;1;0;1;2;90;2;0;0;9;8;4;2;0;3;20;8;3;[];46.6937921;6.6926541;542940.299202532;171668.970814063;51.5535900104058;0.73;1.545
60;1046;5534;Rueyres;22;2223;2211;1;0;1;2;90;2;0;0;9;8;4;2;0;3;20;8;3;[];46.6937921;6.6926541;542940.299202532;171668.970814063;51.5535900104058;0.73;1.545
493;1453;5571;Tévenon;22;2224;2213;3;0;1;2;91;2;0;0;9;8;5;0;0;3;15;7;5;[];46.8648032;6.6382256331379;538971.527799565;190720.073872673;14.789802289282;0.73;1.545
